,city_name,country_code,latitude,longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
271,opuwo,na,-18.0666667,13.85,74.17,36,96,3.56,1619812378
272,ubinskoye,ru,55.306753,79.680163,42.4,71,17,7.31,1619812379
273,toliary,mg,-23.35,43.6666667,75.04,83,0,4.27,1619812379
274,osterhofen,de,48.7,13.016667,53.01,63,83,4,1619812379
275,eldikan,ru,60.8,135.183333,31.64,98,100,2.64,1619812379
276,beringovskiy,ru,63.05,179.316667,25.07,82,100,9.22,1619812380
277,cururupu,br,-1.833333,-44.866667,80.44,81,80,3.13,1619812380
278,nkayi,cg,-4.1655556,13.2927778,76.28,92,100,1.23,1619812380
279,mpika,zm,-11.8333333,31.45,62.13,91,63,3.69,1619812380
280,miranorte,br,-9.476667,-48.480278,81.34,78,97,2.48,1619812381
281,anito,ph,12.44972,125.288608,75.9,87,100,3.18,1619812381
282,trincomalee,lk,8.5666667,81.2333333,82.67,75,98,4.9,1619812381
283,sergeyevka,kz,53.88,67.415833,42.28,58,20,10.11,1619812382
284,tiksi,ru,71.687222,128.869444,30.31,83,100,3.44,1619812382
285,urozhaynoye,ru,44.788333,44.922778,52.86,85,45,9.71,1619812382
286,bourail,nc,-21.5666667,165.4833333,68.54,71,57,3.42,1619812383
287,bubaque,gw,11.2833333,-15.8333333,78.71,71,15,20.33,1619812383
288,ambon,id,-3.695426,128.181405,81.46,76,98,3.27,1619812383
289,tamandare,br,-8.75,-35.1,79.16,77,100,10.56,1619812384
290,san cristobal,ec,-0.9166667,-89.5666667,82.4,69,40,11.5,1619812384
291,karamay,cn,45.600376,84.860142,76.23,17,4,5.26,1619812384
292,luwingu,zm,-10.2666667,29.9,64.63,92,88,3.31,1619812385
293,rio grande,br,-32.033333,-52.083333,75.2,64,0,13.8,1619812385
294,eureka,us,40.8022222,-124.1625000,62.01,78,100,5.01,1619812385
295,flin flon,ca,54.766667,-101.883333,42.8,42,90,9.22,1619812386
296,el alto,pe,-4.2641667,-81.2183333,82.4,61,0,17.27,1619812386
297,sibolga,id,1.7427,98.7792,76.5,86,100,2.75,1619812386
298,aksum,et,14.124482,38.724442,69.62,45,100,5.06,1619812386
299,paullo,it,45.416667,9.4,63,88,40,1.14,1619812387
300,hofn,is,64.25,-15.216667,35.73,92,100,15.17,1619812387
301,qaanaaq,gl,77.4894444,-69.3322222,31.87,68,92,5.84,1619812387
302,palmer,us,61.5997222,-149.1127778,42.01,60,90,4.61,1619812387
303,severo-kurilsk,ru,50.678889,156.125,35.01,94,100,20.69,1619812388
304,iqaluit,ca,63.733333,-68.5,35.6,75,75,17.27,1619812388
305,sann,pk,26.041841,68.137772,86,45,40,4.61,1619812388
306,ampanihy,mg,-24.7,44.75,70.88,71,0,6.91,1619812389
307,provideniya,ru,64.383333,-173.3,28.71,59,99,0.81,1619812389
308,the valley,ai,18.2166667,-63.05,86,61,20,14.97,1619812389
309,ashqelon,il,31.669256,34.57149,73,49,0,4.61,1619812389
310,okha,ru,53.573889,142.947778,30.85,87,100,7.67,1619812390
311,batagay,ru,67.633333,134.633333,27.5,96,100,1.95,1619812390
312,luganville,vu,-15.5333333,167.1666667,78.84,83,94,9.91,1619812390
313,bairiki,ki,1.3166667,172.9666667,82.4,78,75,5.75,1619812391
314,launceston,au,-41.438759,147.134674,50,93,10,0.18,1619812391
315,sampit,id,-2.533333,112.95,73.4,98,100,0.6,1619812391
316,sola,vu,-13.8833333,167.55,80.96,74,37,17.65,1619812392
317,jambi,id,-1.6,103.616667,73.09,98,100,2.17,1619812392
318,rungata,ki,-1.35,176.4333333,82.22,76,8,8.66,1619812392
319,georgetown,sh,-7.9333333,-14.4166667,79.66,65,45,13.09,1619812392
320,avera,pf,-22.45,-151.35,75.52,83,100,13.6,1619812393
321,wapi pathum,th,15.845229,103.376785,80.01,99,100,4.18,1619812393
322,svetlyy,ru,50.818333,60.851944,46.85,61,21,5.82,1619812393
323,saldanha,za,-33.01167,17.944202,57.2,67,0,10.36,1619812394
324,mahebourg,mu,-20.4080556,57.7,77,83,20,11.5,1619812394
325,marystown,ca,47.166667,-55.166667,41.32,79,100,14.67,1619812394
326,rockingham,us,34.9391667,-79.7741667,79,27,1,9.22,1619812394
327,tessalit,ml,20.2013889,1.0088889,89.47,21,97,28.1,1619812395
328,kerema,pg,-7.9666667,145.7666667,75.15,86,99,3.13,1619812395
329,terrace,ca,54.5,-128.583333,48.2,81,90,21.85,1619812395
330,chagoda,ru,59.1371,35.2916,34.09,98,100,6.55,1619812396
331,leningradskiy,ru,69.383333,178.416667,16.92,88,100,21.83,1619812396
332,ulaangom,mn,49.9666667,92.0333333,53.22,38,62,5.84,1619812396
333,mareeba,au,-16.995001,145.423233,71.6,83,75,6.91,1619812396
334,galle,lk,6.0536111,80.2116667,79.2,83,100,1.19,1619812397
335,saquarema,br,-22.933333,-42.5,77,69,20,5.75,1619812397
336,yuli,tw,23.3333333,121.3,69.03,42,100,6.24,1619812397
337,adzope,ci,6.106944,-3.861944,79.88,77,54,5.66,1619812398
338,porbandar,in,21.633333,69.6,83.23,73,100,10.74,1619812398
339,kawalu,id,-7.3817,108.2082,72.12,95,89,2.48,1619812398
340,mabay,ph,6.057723,124.466607,78.62,85,98,5.01,1619812399
341,nicoya,cr,10.148275,-85.452013,87.55,53,80,3.22,1619812399
342,panjab,af,34.387949,67.023273,46.51,80,100,3.87,1619812399
343,maceio,br,-9.666667,-35.716667,80.6,78,40,16.11,1619812400
344,lorengau,pg,-2.0166667,147.2666667,79.9,78,100,3.04,1619812400
345,drexel heights,us,32.1411111,-111.0277778,87.01,13,1,13.8,1619812400
346,tarata,pe,-17.4744444,-70.0327778,71.6,53,0,6.91,1619812400
347,tautira,pf,-17.7333333,-149.15,82.4,78,75,9.22,1619812401
348,iaciara,br,-14.15,-46.666667,78.44,60,100,4.61,1619812401
349,valparaiso,cl,-33.047778,-71.601111,66.2,63,20,4.61,1619812119
350,vredendal,za,-31.668329,18.501192,56.35,70,0,6.15,1619812402
351,carahue,cl,-38.7,-73.166667,60.8,72,90,13.8,1619812402
352,amahai,id,-3.333333,128.916667,78.35,81,98,2.04,1619812402
